Article_number;Stock;Stock_BE;ETA;ETA_Confirmed;Status;Classe_comm;last_update
09832/01/30;0;115;15/10/2026;;;Competitive;13.07.2026
09832/01/31;0;31;;03/08/2026;;Competitive;13.07.2026
09912/05/31;0;118;15/10/2026;;;Competitive;13.07.2026
09913/05/36;5;0;;;Dropped out;;13.07.2026
09915/06/31;0;500;;;;Competitive;13.07.2026
09915/06/36;0;495;;;;Competitive;13.07.2026
09916/06/31;8;0;;;Dropped out;;13.07.2026
09916/06/36;3;0;;;Dropped out;;13.07.2026
09921/12/30;0;117;;;;Competitive;13.07.2026
09921/12/31;0;93;;;;Competitive;13.07.2026
09922/12/30;0;45;;;;Competitive;13.07.2026
09922/12/31;0;249;;;;Competitive;13.07.2026
09923/01/30;0;278;;;;Competitive;13.07.2026
09923/01/31;0;176;10/08/2026;03/08/2026;;Competitive;13.07.2026
09924/01/30;0;176;;;;Competitive;13.07.2026
09924/01/31;0;57;;27/07/2026;;Competitive;13.07.2026
09925/01/30;0;207;;;;Competitive;13.07.2026
09925/01/31;0;364;;;;Neutral;13.07.2026
09925/02/30;0;117;;;;Competitive;13.07.2026
09925/02/31;1;12;;;;Neutral;13.07.2026
09926/01/30;0;326;;;;Competitive;13.07.2026
09926/02/30;0;31;;;;Competitive;13.07.2026
09928/05/30;0;19;;;;Competitive;13.07.2026
09929/05/02;0;240;;;;Competitive;13.07.2026
09929/05/30;0;94;;27/07/2026;;Competitive;13.07.2026
09929/05/31;0;61;03/08/2026;27/07/2026;;Competitive;13.07.2026
09929/06/02;0;115;;;;Competitive;13.07.2026
09929/06/30;0;30;;31/08/2026;;Competitive;13.07.2026
09929/06/31;0;84;;;;Competitive;13.07.2026
09929/10/02;0;350;;;;Competitive;13.07.2026
09929/10/30;0;69;03/08/2026;27/07/2026;;Competitive;13.07.2026
09929/10/31;0;75;;03/08/2026;;Competitive;13.07.2026
09929/15/02;0;228;;;;Competitive;13.07.2026
09929/15/30;0;44;;27/07/2026;;Competitive;13.07.2026
09929/15/31;0;53;;27/07/2026;;Competitive;13.07.2026
09929/20/02;0;383;;;;Competitive;13.07.2026
09929/20/30;0;4;;27/07/2026;;Competitive;13.07.2026
09929/20/31;0;30;;27/07/2026;;Competitive;13.07.2026
